database_id,chemical_shift_x,chemical_shift_y,intensity
HMDB0000022,3.2499,43.7205,0.3662347201
HMDB0000022,2.9256,35.1825,0.5722680417
HMDB0000023,3.6844,67.3949,0.7548946946
HMDB0000023,3.5244,67.3949,0.8184360107
HMDB0000023,2.4727,47.4452,1.0
HMDB0000023,1.0916,16.6013,0.5328878701
HMDB0000023,1.0209,16.6013,0.491096746
HMDB0000026,3.2944,39.9036,0.5550752237
HMDB0000026,2.3709,40.0739,1.0
HMDB0000030,4.3019,59.0919,0.7313447823
HMDB0000030,4.1316,60.8977,0.7331447301
HMDB0000030,3.1027,55.1049,0.6507942994
HMDB0000030,2.8216,39.6649,0.2704460307
HMDB0000030,2.5759,39.6646,0.1714123945
HMDB0000030,2.1995,33.1973,1.0
HMDB0000030,1.613,27.89,0.3185203792
HMDB0000030,1.5161,24.3497,0.621787167
HMDB0000030,1.4654,27.89,0.2901345615
HMDB0000030,1.3315,27.8899,0.4881096946
HMDB0000030,4.616,3.361,NA
HMDB0000030,4.616,4.445,NA
HMDB0000030,4.616,4.606,NA
HMDB0000030,4.614,2.794,NA
HMDB0000030,4.613,2.762,NA
HMDB0000030,4.454,4.445,NA
HMDB0000030,4.453,2.794,NA
HMDB0000030,4.453,4.606,NA
HMDB0000030,4.452,2.76,NA
HMDB0000030,4.452,2.991,NA
HMDB0000030,3.362,1.428,NA
HMDB0000030,3.362,1.621,NA
HMDB0000030,3.362,1.719,NA
HMDB0000030,3.362,2.193,NA
HMDB0000030,3.362,2.208,NA
HMDB0000030,3.362,4.447,NA
HMDB0000030,3.361,1.393,NA
HMDB0000030,3.361,1.411,NA
HMDB0000030,3.361,1.585,NA
HMDB0000030,3.361,1.603,NA
HMDB0000030,3.361,2.172,NA
HMDB0000030,3.361,3.355,NA
HMDB0000030,3.361,4.606,NA
HMDB0000030,3.005,3.019,NA
HMDB0000030,3.004,2.985,NA
HMDB0000030,3.002,4.444,NA
HMDB0000030,3.002,4.605,NA
HMDB0000030,2.997,2.789,NA
HMDB0000030,2.783,2.983,NA
HMDB0000030,2.783,4.445,NA
HMDB0000030,2.783,4.606,NA
HMDB0000030,2.782,2.792,NA
HMDB0000030,2.781,2.759,NA
HMDB0000030,2.193,1.735,NA
HMDB0000030,2.192,1.392,NA
HMDB0000030,2.192,1.41,NA
HMDB0000030,2.192,1.427,NA
HMDB0000030,2.192,1.588,NA
HMDB0000030,2.192,1.601,NA
HMDB0000030,2.192,1.618,NA
HMDB0000030,2.192,1.703,NA
HMDB0000030,2.192,1.72,NA
HMDB0000030,2.192,2.19,NA
HMDB0000030,2.192,3.355,NA
HMDB0000030,2.19,2.175,NA
HMDB0000030,1.722,1.754,NA
HMDB0000030,1.721,2.186,NA
HMDB0000030,1.72,1.736,NA
HMDB0000030,1.72,2.168,NA
HMDB0000030,1.719,1.408,NA
HMDB0000030,1.719,1.426,NA
HMDB0000030,1.719,1.599,NA
HMDB0000030,1.719,1.619,NA
HMDB0000030,1.719,2.206,NA
HMDB0000030,1.718,1.581,NA
HMDB0000030,1.718,1.699,NA
HMDB0000030,1.718,1.716,NA
HMDB0000030,1.718,3.346,NA
HMDB0000030,1.718,3.355,NA
HMDB0000030,1.598,1.619,NA
HMDB0000030,1.598,1.731,NA
HMDB0000030,1.597,1.427,NA
HMDB0000030,1.597,1.601,NA
HMDB0000030,1.597,1.703,NA
HMDB0000030,1.597,1.719,NA
HMDB0000030,1.597,2.19,NA
HMDB0000030,1.597,2.207,NA
HMDB0000030,1.597,3.355,NA
HMDB0000030,1.596,1.393,NA
HMDB0000030,1.596,1.409,NA
HMDB0000030,1.596,1.585,NA
HMDB0000030,1.596,2.172,NA
HMDB0000030,1.411,1.582,NA
HMDB0000030,1.411,1.601,NA
HMDB0000030,1.411,1.619,NA
HMDB0000030,1.411,1.733,NA
HMDB0000030,1.411,2.207,NA
HMDB0000030,1.411,3.355,NA
HMDB0000030,1.41,1.409,NA
HMDB0000030,1.41,1.427,NA
HMDB0000030,1.41,1.702,NA
HMDB0000030,1.41,1.719,NA
HMDB0000030,1.41,2.172,NA
HMDB0000030,1.41,2.189,NA
HMDB0000030,1.409,1.393,NA
HMDB0000032,5.5756,119.5563,0.1777657532
HMDB0000032,5.3892,116.1517,0.2258594694
HMDB0000032,3.6425,70.4034,0.0712994892
HMDB0000032,2.4734,40.6217,0.0594405328
HMDB0000032,2.2934,40.837,0.0516436189
HMDB0000032,2.0948,39.0428,0.0707591409
HMDB0000032,1.9706,46.2198,0.0787050873
HMDB0000032,1.9272,27.8467,0.0622835404
HMDB0000032,1.8931,32.0093,0.0437245942
HMDB0000032,1.8993,38.3969,0.0493977416
HMDB0000032,1.8775,54.4015,0.088715306
HMDB0000032,1.7255,21.1003,0.031046666
HMDB0000032,1.6944,22.751,0.059973271
HMDB0000032,1.5889,21.1003,0.0481597715
HMDB0000032,1.5175,27.9185,0.1409284433
HMDB0000032,1.4989,31.9376,0.0279821588
HMDB0000032,1.3996,23.1099,0.0364796983
HMDB0000032,1.3903,36.0285,0.1234630186
HMDB0000032,1.3438,23.4687,0.1001170768
HMDB0000032,1.3531,35.8849,0.1432651057
HMDB0000032,1.3189,27.9902,0.0351532496
HMDB0000032,1.3034,38.3969,0.0748819173
HMDB0000032,1.2351,38.971,0.0376377408
HMDB0000032,1.2103,55.9087,0.0714060479
HMDB0000032,1.1513,24.0429,0.0519125443
HMDB0000032,1.142,39.1863,0.1121001975
HMDB0000032,1.0955,39.3299,0.1296895719
HMDB0000032,1.0148,36.0285,0.07397556
HMDB0000032,0.9403,18.6602,0.2273389452
HMDB0000032,0.9496,16.2918,0.0808622341
HMDB0000032,0.872,22.6793,1.0
HMDB0000032,0.6238,11.7703,0.0528870019
HMDB0000033,8.0766,137.4248,0.824964587
HMDB0000033,7.0759,119.8781,1.0
HMDB0000033,4.4645,57.5703,0.4480562303
HMDB0000033,3.2254,38.5797,0.815128886
HMDB0000033,3.172,30.8529,0.1417050648
HMDB0000033,3.0233,30.7985,0.2528025037
HMDB0000033,2.665,34.8251,0.4087330787
HMDB0000033,8.031,7.056,NA
HMDB0000033,8.03,8.018,NA
HMDB0000033,7.063,7.056,NA
HMDB0000033,7.062,8.019,NA
HMDB0000033,5.034,4.832,NA
HMDB0000033,4.848,4.853,NA
HMDB0000033,4.836,4.833,NA
HMDB0000033,4.824,4.812,NA
HMDB0000033,4.471,3.151,NA
HMDB0000033,4.469,4.469,NA
HMDB0000033,4.468,2.987,NA
HMDB0000033,4.468,3.023,NA
HMDB0000033,4.468,3.046,NA
HMDB0000033,3.222,2.63,NA
HMDB0000033,3.219,2.672,NA
HMDB0000033,3.219,2.681,NA
HMDB0000033,3.218,3.221,NA
HMDB0000033,3.213,3.205,NA
HMDB0000033,3.211,2.723,NA
HMDB0000033,3.162,3.046,NA
HMDB0000033,3.162,3.155,NA
HMDB0000033,3.162,4.475,NA
HMDB0000033,3.162,7.055,NA
HMDB0000033,3.16,2.984,NA
HMDB0000033,3.159,3.024,NA
HMDB0000033,3.158,4.481,NA
HMDB0000033,3.157,3.006,NA
HMDB0000033,3.157,4.455,NA
HMDB0000033,3.026,3.193,NA
HMDB0000033,3.022,3.046,NA
HMDB0000033,3.021,3.151,NA
HMDB0000033,3.017,2.987,NA
HMDB0000033,3.017,3.023,NA
HMDB0000033,3.017,4.467,NA
HMDB0000033,2.918,4.822,NA
HMDB0000033,2.865,4.836,NA
HMDB0000033,2.673,2.724,NA
HMDB0000033,2.673,3.22,NA
HMDB0000033,2.672,2.615,NA
HMDB0000033,2.672,2.67,NA
HMDB0000033,2.672,2.682,NA
HMDB0000033,2.671,2.629,NA
HMDB0000033,2.671,3.207,NA
HMDB0000033,2.312,4.833,NA
HMDB0000034,8.1388,154.846,1.0
HMDB0000034,8.1211,143.7497,0.7853911059
HMDB0000034,8.436,8.435,NA
HMDB0000034,8.382,8.381,NA
HMDB0000036,1182.0,283.0,1.0
HMDB0000036,1210.3,297.0,0.9559497022
HMDB0000036,1267.0,390.0,0.8680344143
HMDB0000036,1284.0,284.0,0.8416148246
HMDB0000036,1394.1,344.0,0.6706287227
HMDB0000036,1448.0,377.0,0.5870019854
HMDB0000036,1461.0,418.0,0.5668034414
HMDB0000036,1474.9,398.0,0.545148908
HMDB0000036,1489.2,372.0,0.523017869
HMDB0000036,1497.0,398.0,0.510893448
HMDB0000036,1521.0,391.5,0.4736201191
HMDB0000036,1523.0,357.7,0.4704698875
HMDB0000036,1531.9,414.0,0.4566776969
HMDB0000036,1546.5,390.0,0.4340172071
HMDB0000036,1546.1,428.0,0.4346260754
HMDB0000036,1548.9,401.3,0.4302051621
HMDB0000036,1579.3,377.0,0.3830046327
HMDB0000036,1583.0,405.0,0.3772865652
HMDB0000036,1589.0,410.4,0.368021178
HMDB0000036,1593.6,391.5,0.3609265387
HMDB0000036,1599.0,377.4,0.3524023825
HMDB0000036,1609.0,405.0,0.3369688948
HMDB0000036,1610.4,390.6,0.3348246195
HMDB0000036,1616.2,371.0,0.3258239576
HMDB0000036,1626.5,401.3,0.3097286565
HMDB0000036,1631.3,414.0,0.3023428193
HMDB0000036,1663.5,428.0,0.2523362012
HMDB0000036,1669.4,445.0,0.2430972866
HMDB0000036,1683.9,390.0,0.2206750496
HMDB0000036,1688.3,428.5,0.2138186631
HMDB0000036,1727.1,459.0,0.153514229
HMDB0000037,5.6185,123.3303,0.6212274317
HMDB0000037,5.2557,105.9029,0.277341728
HMDB0000037,4.8449,95.2801,0.3420488759
HMDB0000037,4.6686,80.3569,0.2301995791
HMDB0000037,4.4339,73.3763,0.2846913725
HMDB0000037,4.1766,67.7334,0.0555176243
HMDB0000037,4.0534,67.7334,0.0565160461
HMDB0000037,3.291,66.4082,0.1073859287
HMDB0000037,3.1738,66.4082,0.1101321346
HMDB0000037,2.8564,50.8043,0.1775662103
HMDB0000037,2.5043,39.5008,1.0
HMDB0000037,2.4812,45.4878,0.1138903643
HMDB0000037,2.4515,33.2055,0.1612553634
HMDB0000037,2.4097,31.881,0.0869499213
HMDB0000037,2.2393,38.8529,0.0884983583
HMDB0000037,2.2516,31.8802,0.2033569498
HMDB0000037,2.1691,33.2051,0.0716823805
HMDB0000037,2.1116,35.0074,0.1073770795
HMDB0000037,2.106,22.9119,0.0602229226
HMDB0000037,2.0109,25.4303,0.0622512819
HMDB0000037,1.9241,31.544,0.067902658
HMDB0000037,1.8486,30.7167,0.0773530412
HMDB0000037,1.8118,24.246,0.0690394488
HMDB0000037,1.7876,29.2147,0.0697734209
HMDB0000037,1.7128,37.1952,0.0683595584
HMDB0000037,1.6936,22.9136,0.0696648193
HMDB0000037,1.6371,36.1968,0.0886528709
HMDB0000037,1.6128,35.0062,0.1123345824
HMDB0000037,1.4879,39.5003,0.0788529754
HMDB0000037,1.4489,51.947,0.0643089672
HMDB0000037,1.4366,48.1504,0.0725153369
HMDB0000037,1.4393,25.43,0.0322359995
HMDB0000037,1.3787,38.8543,0.0688609698
HMDB0000037,1.347,24.2454,0.0440209066
HMDB0000037,1.3219,29.2157,0.0342922093
HMDB0000037,1.2197,17.9311,0.265412087
HMDB0000037,1.1793,18.127,0.3057461382
HMDB0000037,1.1419,31.5443,0.0429888008
HMDB0000037,1.0734,56.1116,0.0940530582
HMDB0000037,1.0619,30.7175,0.0459296471
HMDB0000037,0.9914,55.7838,0.1193630747
HMDB0000038,3.9474,40.6264,0.981191905
HMDB0000038,3.7336,77.6839,0.4333884129
HMDB0000038,3.6417,68.1814,0.3113302428
HMDB0000038,1.0795,19.5911,1.0
HMDB0000039,2.1458,42.347,1.0
HMDB0000039,1.5439,22.0735,0.5628009683
HMDB0000039,0.9106,15.9156,0.3736366524
HMDB0000039,0.8531,16.0104,0.3066474177
HMDB0000042,1.9059,26.0899,1.0
HMDB0000042,1.915,1.913,NA
HMDB0000043,3.894,3.894,NA
HMDB0000043,3.892,3.918,NA
HMDB0000043,3.887,3.871,NA
HMDB0000043,3.435,3.436,NA
HMDB0000043,3.329,3.243,NA
HMDB0000043,3.264,3.289,NA
HMDB0000043,3.254,3.257,NA
HMDB0000043,3.254,3.893,NA
HMDB0000043,3.251,3.278,NA
HMDB0000043,3.25,3.239,NA
HMDB0000043,3.205,3.255,NA
HMDB0000043,3.8893,68.6416,0.1816562759
HMDB0000043,3.2522,55.8569,1.0
HMDB0000045,8.5422,142.61,0.6617565588
HMDB0000045,8.1599,155.2645,0.5916212615
HMDB0000045,6.0952,89.5866,1.0
HMDB0000045,4.7749,77.2747,0.6235339166
HMDB0000045,4.513,73.2829,0.9500643548
HMDB0000045,4.3718,87.1412,0.8352998306
HMDB0000045,4.0377,66.2032,0.9705203816
HMDB0000045,8.58,8.572,NA
HMDB0000045,8.179,8.172,NA
HMDB0000045,6.346,4.824,NA
HMDB0000045,6.115,4.52,NA
HMDB0000045,6.115,4.795,NA
HMDB0000045,6.115,6.107,NA
HMDB0000045,6.115,6.116,NA
HMDB0000045,4.822,4.822,NA
HMDB0000045,4.816,4.8,NA
HMDB0000045,4.796,4.377,NA
HMDB0000045,4.796,4.52,NA
